Order,Family,Genus,Species,Common Name,Diet,Introduced
Passeriformes,Paridae,Baeolophus,Baeolophus inornatus,Oak titmouse,Omnivore,
Passeriformes,Paridae,Poecile,Poecile gambeli,Mountain chickadee,Herbivore,
Passeriformes,Parulidae,Cardellina,Cardellina pusilla,Wilson's warbler,Insectivore,
Passeriformes,Parulidae,Geothlypis,Geothlypis trichas,Common yellowthroat,Insectivore,
Passeriformes,Parulidae,Icteria,Icteria virens,Yellow-breasted chat,Omnivore,
Passeriformes,Parulidae,Leiothlypis,Leiothlypis celata,Orange-crowned warbler,Herbivore,
Passeriformes,Parulidae,Leiothlypis,Leiothlypis ruficapilla,Nashville warbler,Insectivore,
Passeriformes,Parulidae,Setophaga,Setophaga coronata,Yellow-rumped warbler,Insectivore,
Passeriformes,Parulidae,Setophaga,Setophaga nigrescens,Black-throated gray warbler,Insectivore,
Passeriformes,Parulidae,Setophaga,Setophaga occidentalis,Hermit warbler,Insectivore,
Passeriformes,Parulidae,Setophaga,Setophaga petechia,Yellow warbler,Insectivore,
Passeriformes,Parulidae,Setophaga,Setophaga townsendi,Townsend's warbler,Insectivore,
Passeriformes,Passerellidae,Aimophila,Aimophila ruficeps,Rufous-crowned sparrow,Omnivore,
Passeriformes,Passerellidae,Ammodramus,Ammodramus savannarum,Grasshopper sparrow,Insectivore,
Passeriformes,Passerellidae,Chondestes,Chondestes grammacus,Lark sparrow,Herbivore,
Passeriformes,Passerellidae,Junco,Junco hyemalis,Dark-eyed junco,Insectivore,
Passeriformes,Passerellidae,Melospiza,Melospiza lincolnii,Lincoln's sparrow,Omnivore,
Passeriformes,Passerellidae,Melospiza,Melospiza melodia,Song sparrow,Insectivore,
Passeriformes,Passerellidae,Melozone,Melozone crissalis,California towhee,Omnivore,
Passeriformes,Passerellidae,Passerculus,Passerculus sandwichensis,Savannah sparrow,Insectivore,
Passeriformes,Passerellidae,Passerella,Passerella iliaca,Fox sparrow,Herbivore,
Passeriformes,Passerellidae,Pipilo,Pipilo maculatus,Spotted towhee,Insectivore,
Passeriformes,Passerellidae,Pooecetes,Pooecetes gramineus,Vesper sparrow,Omnivore,
Passeriformes,Passerellidae,Spizella,Spizella passerina,Chipping sparrow,Herbivore,
Passeriformes,Passerellidae,Zonotrichia,Zonotrichia albicollis,White-throated sparrow,Omnivore,
Passeriformes,Passerellidae,Zonotrichia,Zonotrichia atricapilla,Golden-crowned sparrow,Herbivore,
Passeriformes,Passerellidae,Zonotrichia,Zonotrichia leucophrys,White-crowned sparrow,Omnivore,
Passeriformes,Passeridae,Passer,Passer domesticus,House sparrow,Omnivore,*
Passeriformes,Polioptilidae,Polioptila,Polioptila caerulea,Blue-gray gnatcatcher,Insectivore,
Passeriformes,Ptilogonatidae,Phainopepla,Phainopepla nitens,Phainopepla,Herbivore,
Passeriformes,Regulidae,Regulus,Regulus calendula,Ruby-crowned kinglet,Omnivore,
Passeriformes,Remizidae,Auriparus,Auriparus flaviceps,Verdin,Insectivore,
Passeriformes,Sittidae,Sitta,Sitta canadensis,Red-breasted nuthatch,Omnivore,
Passeriformes,Sittidae,Sitta,Sitta carolinensis,White-breasted nuthatch,Omnivore,
Passeriformes,Sturnidae,Sturnus,Sturnus vulgaris,Common starling,Omnivore,*
Passeriformes,Sylviidae,Chamaea,Chamaea fasciata,Wrentit,Omnivore,
Passeriformes,Troglodytidae,Catherpes,Catherpes mexicanus,Canyon wren,Insectivore,
Passeriformes,Troglodytidae,Salpinctes,Salpinctes obsoletus,Rock wren,Insectivore,
Passeriformes,Troglodytidae,Thryomanes,Thryomanes bewickii,Bewick's wren,Insectivore,
Passeriformes,Troglodytidae,Troglodytes,Troglodytes aedon,House wren,Insectivore,
Passeriformes,Turdidae,Catharus,Catharus guttatus,Hermit thrush,Omnivore,
Passeriformes,Turdidae,Catharus,Catharus ustulatus,Swainson's thrush,Omnivore,
Passeriformes,Turdidae,Ixoreus,Ixoreus naevius,Varied thrush,Omnivore,
Passeriformes,Turdidae,Myadestes,Myadestes townsendi,Townsend's solitaire,Omnivore,
Passeriformes,Turdidae,Sialia,Sialia currucoides,Mountain bluebird,Insectivore,
Passeriformes,Turdidae,Sialia,Sialia mexicana,Western bluebird,Omnivore,
Passeriformes,Turdidae,Turdus,Turdus migratorius,American robin,Omnivore,
Passeriformes,Tyrannidae,Contopus,Contopus sordidulus,Western wood-pewee,Insectivore,
Passeriformes,Tyrannidae,Empidonax,Empidonax difficilis,Western flycatcher,Carnivore,
Passeriformes,Tyrannidae,Empidonax,Empidonax traillii,Willow flycatcher,Insectivore,
Passeriformes,Tyrannidae,Myiarchus,Myiarchus cinerascens,Ash-throated flycatcher,Insectivore,
Passeriformes,Tyrannidae,Sayornis,Sayornis nigricans,Black phoebe,Insectivore,
Passeriformes,Tyrannidae,Sayornis,Sayornis saya,Say's phoebe,Insectivore,
Passeriformes,Tyrannidae,Tyrannus,Tyrannus verticalis,Western kingbird,Insectivore,
Passeriformes,Tyrannidae,Tyrannus,Tyrannus vociferans,Cassin's kingbird,Insectivore,
Passeriformes,Vireonidae,Vireo,Vireo cassinii,Cassin's vireo,Insectivore,
Passeriformes,Vireonidae,Vireo,Vireo gilvus,Warbling vireo,Insectivore,
Passeriformes,Vireonidae,Vireo,Vireo huttoni,Hutton's vireo,Insectivore,
Pelecaniformes,Ardeidae,Ardea,Ardea alba,Great egret,Piscivore,
Pelecaniformes,Ardeidae,Ardea,Ardea herodias,Great blue heron,Carnivore,
Pelecaniformes,Ardeidae,Butorides,Butorides virescens,Green heron,Carnivore,
Pelecaniformes,Ardeidae,Egretta,Egretta thula,Snowy egret,Piscivore,
Pelecaniformes,Ardeidae,Nycticorax,Nycticorax nycticorax,Black-crowned night heron,Piscivore,
Pelecaniformes,Pelecanidae,Pelecanus,Pelecanus erythrorhynchos,American white pelican,Piscivore,
Piciformes,Picidae,Colaptes,Colaptes auratus,Northern flicker,Insectivore,
Piciformes,Picidae,Dryobates,Dryobates nuttallii,Nuttall's woodpecker,Insectivore,
Piciformes,Picidae,Dryobates,Dryobates pubescens,Downy woodpecker,Omnivore,
Piciformes,Picidae,Leuconotopicus,Leuconotopicus villosus,Hairy woodpecker,Insectivore,
Piciformes,Picidae,Melanerpes,Melanerpes formicivorus,Acorn woodpecker,Herbivore,
Piciformes,Picidae,Melanerpes,Melanerpes lewis,Lewis's woodpecker,Omnivore,
Piciformes,Picidae,Sphyrapicus,Sphyrapicus ruber,Red-breasted sapsucker,Herbivore,
Strigiformes,Strigidae,Asio,Asio flammeus,Short-eared owl,Carnivore,
Strigiformes,Strigidae,Athene,Athene cunicularia,Burrowing owl,Carnivore,
Strigiformes,Strigidae,Bubo,Bubo virginianus,Great horned owl,Carnivore,
Strigiformes,Strigidae,Glaucidium,Glaucidium gnoma,Northern pygmy-owl,Carnivore,
Strigiformes,Strigidae,Megascops,Megascops kennicottii,Western screech owl,Carnivore,
Strigiformes,Tytonidae,Tyto,Tyto alba,Barn owl,Carnivore,
Suliformes,Phalacrocoracidae,Phalacrocorax,Phalacrocorax auritus,Double-crested cormorant,Piscivore,
