,order,family,genus,species,diet,notes,habitat,forage_site
80,Passeriformes,Hirundinidae,Stelgidopteryx,Stelgidopteryx serripennis,insectivore,,,
81,Passeriformes,Hirundinidae,Petrochelidon,Petrochelidon pyrrhonota,insectivore,,,
82,Passeriformes,Tyrannidae,Empidonax,Empidonax difficilis,carnivore,,,
83,Passeriformes,Icteridae,Icterus,Icterus cucullatus,omnivore,,,
84,Passeriformes,Cardinalidae,Piranga,Piranga ludoviciana,carnivore,,,
85,Passeriformes,Icteridae,Molothrus,Molothrus ater,herbivore,,,
86,Passeriformes,Cardinalidae,Passerina,Passerina amoena,omnivore,,,
87,Passeriformes,Vireonidae,Vireo,Vireo cassinii,insectivore,,,
88,Passeriformes,Parulidae,Cardellina,Cardellina pusilla,insectivore,,,
89,Passeriformes,Tyrannidae,Myiarchus,Myiarchus cinerascens,insectivore,,,
90,Passeriformes,Icteridae,Icterus,Icterus bullockii,omnivore,,,
91,Passeriformes,Cardinalidae,Pheucticus,Pheucticus melanocephalus,omnivore,,,
92,Passeriformes,Bombycillidae,Bombycilla,Bombycilla cedrorum,herbivore,,,
93,Passeriformes,Tyrannidae,Contopus,Contopus sordidulus,insectivore,,,
94,Apodiformes,Apodidae,Chaetura,Chaetura vauxi,insectivore,,,
95,Passeriformes,Parulidae,Icteria,Icteria virens,omnivore,,,
96,Passeriformes,Corvidae,Cyanocitta,Cyanocitta stelleri,omnivore,,,
97,Passeriformes,Vireonidae,Vireo,Vireo gilvus,insectivore,,,
98,Strigiformes,Strigidae,Bubo,Bubo virginianus,carnivore,,,
99,Strigiformes,Tytonidae,Tyto,Tyto alba,carnivore,,,
100,Piciformes,Picidae,Melanerpes,Melanerpes lewis,omnivore,,,
101,Anseriformes,Anatidae,Anser,Anser albifrons,herbivore,,,
102,Falconiformes,Falconidae,Falco,Falco peregrinus,avivore,,,
103,Passeriformes,Motacillidae,Anthus,Anthus rubescens,omnivore,,,
104,Passeriformes,Passeridae,Passer,Passer domesticus,omnivore,,,
105,Passeriformes,Passerellidae,Pooecetes,Pooecetes gramineus,omnivore,,,
106,Anseriformes,Anatidae,Anas,Anas platyrhynchos,herbivore,,,
107,Strigiformes,Strigidae,Athene,Athene cunicularia,carnivore,,,
108,Passeriformes,Passerellidae,Melospiza,Melospiza lincolnii,omnivore,,,
109,Passeriformes,Fringillidae,Haemorhous,Haemorhous purpureus,omnivore,,,
110,Passeriformes,Parulidae,Setophaga,Setophaga petechia,insectivore,,,
111,Accipitriformes,Accipitridae,Buteo,Buteo swainsoni,carnivore,,,
112,Strigiformes,Strigidae,Glaucidium,Glaucidium gnoma,carnivore,,,
113,Columbiformes,Columbidae,Columbina,Columbina passerina,herbivore,,,
114,Pelecaniformes,Pelecanidae,Pelecanus,Pelecanus erythrorhynchos,piscivore,,,
115,Passeriformes,Passerellidae,Passerella,Passerella iliaca,herbivore,,,
116,Passeriformes,Sittidae,Sitta,Sitta canadensis,omnivore,,,
117,Passeriformes,Parulidae,Leiothlypis,Leiothlypis ruficapilla,insectivore,,,
118,Passeriformes,Parulidae,Setophaga,Setophaga nigrescens,insectivore,,,
119,Passeriformes,Parulidae,Setophaga,Setophaga occidentalis,insectivore,,,
120,Strigiformes,Strigidae,Megascops,Megascops kennicottii,carnivore,,,
121,Passeriformes,Fringillidae,Spinus,Spinus pinus,herbivore,,,
122,Pelecaniformes,Ardeidae,Ardea,Ardea alba,piscivore,,,
123,Passeriformes,Tyrannidae,Empidonax,Empidonax traillii,insectivore,,,
124,Charadriiformes,Laridae,Larus,Larus occidentalis,omnivore,,,
125,Apodiformes,Trochilidae,Archilochus,Archilochus alexandri,herbivore,,,
127,Strigiformes,Strigidae,Asio,Asio flammeus,carnivore,,,
128,Charadriiformes,Charadriidae,Charadrius,Charadrius vociferus,carnivore,,,
129,Passeriformes,Paridae,Poecile,Poecile gambeli,herbivore,,,
130,Passeriformes,Turdidae,Myadestes,Myadestes townsendi,omnivore,,,
131,Galliformes,Phasianidae,Meleagris,Meleagris gallopavo,omnivore,,,
132,Passeriformes,Turdidae,Catharus,Catharus ustulatus,omnivore,,,
133,Passeriformes,Turdidae,Ixoreus,Ixoreus naevius,omnivore,,,
134,Passeriformes,Passerellidae,Zonotrichia,Zonotrichia albicollis,omnivore,,,
