"","X","order","family","genus","species","diet","notes","habitat","forage_site"
"64",64,"Falconiformes","Falconidae","Falco","Falco columbarius","avivore",NA,NA,NA
"65",65,"Accipitriformes","Accipitridae","Aquila","Aquila chrysaetos","carnivore",NA,NA,NA
"66",66,"Passeriformes","Parulidae","Setophaga","Setophaga townsendi","insectivore",NA,NA,NA
"67",67,"Piciformes","Picidae","Dryobates","Dryobates pubescens","omnivore",NA,NA,NA
"68",68,"Accipitriformes","Accipitridae","Elanus","Elanus leucurus","carnivore",NA,NA,NA
"69",69,"Accipitriformes","Accipitridae","Accipiter","Accipiter cooperii","carnivore",NA,NA,NA
"70",70,"Accipitriformes","Accipitridae","Accipiter","Accipiter striatus","avivore",NA,NA,NA
"71",71,"Columbiformes","Columbidae","Columba","Columba livia","herbivore",NA,NA,NA
"72",72,"Passeriformes","Corvidae","Corvus","Corvus corax","omnivore",NA,NA,NA
"73",73,"Passeriformes","Hirundinidae","Hirundo","Hirundo rustica","insectivore",NA,NA,NA
"74",74,"Pelecaniformes","Ardeidae","Ardea","Ardea herodias","carnivore",NA,NA,NA
"75",75,"Passeriformes","Troglodytidae","Catherpes","Catherpes mexicanus","insectivore",NA,NA,NA
"76",76,"Passeriformes","Hirundinidae","Tachycineta","Tachycineta bicolor","omnivore",NA,NA,NA
"77",77,"Passeriformes","Ptilogonatidae","Phainopepla","Phainopepla nitens","herbivore",NA,NA,NA
"78",78,"Passeriformes","Hirundinidae","Tachycineta","Tachycineta thalassina","insectivore",NA,NA,NA
"79",79,"Passeriformes","Troglodytidae","Troglodytes","Troglodytes aedon","insectivore",NA,NA,NA
"80",80,"Passeriformes","Hirundinidae","Stelgidopteryx","Stelgidopteryx serripennis","insectivore",NA,NA,NA
"81",81,"Passeriformes","Hirundinidae","Petrochelidon","Petrochelidon pyrrhonota","insectivore",NA,NA,NA
"82",82,"Passeriformes","Tyrannidae","Empidonax","Empidonax difficilis","carnivore",NA,NA,NA
"83",83,"Passeriformes","Icteridae","Icterus","Icterus cucullatus","omnivore",NA,NA,NA
"84",84,"Passeriformes","Cardinalidae","Piranga","Piranga ludoviciana","carnivore",NA,NA,NA
"85",85,"Passeriformes","Icteridae","Molothrus","Molothrus ater","herbivore",NA,NA,NA
"86",86,"Passeriformes","Cardinalidae","Passerina","Passerina amoena","omnivore",NA,NA,NA
"87",87,"Passeriformes","Vireonidae","Vireo","Vireo cassinii","insectivore",NA,NA,NA
"88",88,"Passeriformes","Parulidae","Cardellina","Cardellina pusilla","insectivore",NA,NA,NA
"89",89,"Passeriformes","Tyrannidae","Myiarchus","Myiarchus cinerascens","insectivore",NA,NA,NA
"90",90,"Passeriformes","Icteridae","Icterus","Icterus bullockii","omnivore",NA,NA,NA
"91",91,"Passeriformes","Cardinalidae","Pheucticus","Pheucticus melanocephalus","omnivore",NA,NA,NA
"92",92,"Passeriformes","Bombycillidae","Bombycilla","Bombycilla cedrorum","herbivore",NA,NA,NA
"93",93,"Passeriformes","Tyrannidae","Contopus","Contopus sordidulus","insectivore",NA,NA,NA
"94",94,"Apodiformes","Apodidae","Chaetura","Chaetura vauxi","insectivore",NA,NA,NA
"95",95,"Passeriformes","Parulidae","Icteria","Icteria virens","omnivore",NA,NA,NA
"96",96,"Passeriformes","Corvidae","Cyanocitta","Cyanocitta stelleri","omnivore",NA,NA,NA
"97",97,"Passeriformes","Vireonidae","Vireo","Vireo gilvus","insectivore",NA,NA,NA
"98",98,"Strigiformes","Strigidae","Bubo","Bubo virginianus","carnivore",NA,NA,NA
"99",99,"Strigiformes","Tytonidae","Tyto","Tyto alba","carnivore",NA,NA,NA
"100",100,"Piciformes","Picidae","Melanerpes","Melanerpes lewis","omnivore",NA,NA,NA
"101",101,"Anseriformes","Anatidae","Anser","Anser albifrons","herbivore",NA,NA,NA
"102",102,"Falconiformes","Falconidae","Falco","Falco peregrinus","avivore",NA,NA,NA
"103",103,"Passeriformes","Motacillidae","Anthus","Anthus rubescens","omnivore",NA,NA,NA
"104",104,"Passeriformes","Passeridae","Passer","Passer domesticus","omnivore",NA,NA,NA
"105",105,"Passeriformes","Passerellidae","Pooecetes","Pooecetes gramineus","omnivore",NA,NA,NA
"106",106,"Anseriformes","Anatidae","Anas","Anas platyrhynchos","herbivore",NA,NA,NA
"107",107,"Strigiformes","Strigidae","Athene","Athene cunicularia","carnivore",NA,NA,NA
"108",108,"Passeriformes","Passerellidae","Melospiza","Melospiza lincolnii","omnivore",NA,NA,NA
"109",109,"Passeriformes","Fringillidae","Haemorhous","Haemorhous purpureus","omnivore",NA,NA,NA
"110",110,"Passeriformes","Parulidae","Setophaga","Setophaga petechia","insectivore",NA,NA,NA
"111",111,"Accipitriformes","Accipitridae","Buteo","Buteo swainsoni","carnivore",NA,NA,NA
"112",112,"Strigiformes","Strigidae","Glaucidium","Glaucidium gnoma","carnivore",NA,NA,NA
"113",113,"Columbiformes","Columbidae","Columbina","Columbina passerina","herbivore",NA,NA,NA
"114",114,"Pelecaniformes","Pelecanidae","Pelecanus","Pelecanus erythrorhynchos","piscivore",NA,NA,NA
"115",115,"Passeriformes","Passerellidae","Passerella","Passerella iliaca","herbivore",NA,NA,NA
"116",116,"Passeriformes","Sittidae","Sitta","Sitta canadensis","omnivore",NA,NA,NA
"117",117,"Passeriformes","Parulidae","Leiothlypis","Leiothlypis ruficapilla","insectivore",NA,NA,NA
"118",118,"Passeriformes","Parulidae","Setophaga","Setophaga nigrescens","insectivore",NA,NA,NA
"119",119,"Passeriformes","Parulidae","Setophaga","Setophaga occidentalis","insectivore",NA,NA,NA
"120",120,"Strigiformes","Strigidae","Megascops","Megascops kennicottii","carnivore",NA,NA,NA
"121",121,"Passeriformes","Fringillidae","Spinus","Spinus pinus","herbivore",NA,NA,NA
"122",122,"Pelecaniformes","Ardeidae","Ardea","Ardea alba","piscivore",NA,NA,NA
"123",123,"Passeriformes","Tyrannidae","Empidonax","Empidonax traillii","insectivore",NA,NA,NA
"124",124,"Charadriiformes","Laridae","Larus","Larus occidentalis","omnivore",NA,NA,NA
"125",125,"Apodiformes","Trochilidae","Archilochus","Archilochus alexandri","herbivore",NA,NA,NA
"126",127,"Strigiformes","Strigidae","Asio","Asio flammeus","carnivore",NA,NA,NA
"127",128,"Charadriiformes","Charadriidae","Charadrius","Charadrius vociferus","carnivore",NA,NA,NA
"128",129,"Passeriformes","Paridae","Poecile","Poecile gambeli","herbivore",NA,NA,NA
"129",130,"Passeriformes","Turdidae","Myadestes","Myadestes townsendi","omnivore",NA,NA,NA
"130",131,"Galliformes","Phasianidae","Meleagris","Meleagris gallopavo","omnivore",NA,NA,NA
"131",132,"Passeriformes","Turdidae","Catharus","Catharus ustulatus","omnivore",NA,NA,NA
"132",133,"Passeriformes","Turdidae","Ixoreus","Ixoreus naevius","omnivore",NA,NA,NA
"133",134,"Passeriformes","Passerellidae","Zonotrichia","Zonotrichia albicollis","omnivore",NA,NA,NA
"134",135,"Passeriformes","Cardinalidae","Passerina","Passerina caerulea","insectivore",NA,NA,NA
"135",136,"Passeriformes","Icteridae","Euphagus","Euphagus cyanocephalus","omnivore",NA,NA,NA
"136",137,"Passeriformes","Hirundinidae","Riparia","Riparia riparia","insectivore",NA,NA,NA
"137",138,"Passeriformes","Turdidae","Sialia","Sialia currucoides","insectivore",NA,NA,NA
"138",139,"Passeriformes","Troglodytidae","Salpinctes","Salpinctes obsoletus","insectivore",NA,NA,NA
"139",140,"Passeriformes","Alaudidae","Eremophila","Eremophila alpestris","omnivore",NA,NA,NA
"140",141,"Passeriformes","Remizidae","Auriparus","Auriparus flaviceps","insectivore",NA,NA,NA
"141",142,"Charadriiformes","Scolopacidae","Numenius","Numenius americanus","carnivore",NA,NA,NA
"142",143,"Anseriformes","Anatidae","Oxyura","Oxyura jamaicensis","omnivore",NA,NA,NA
"143",144,"Pelecaniformes","Ardeidae","Butorides","Butorides virescens","carnivore",NA,NA,NA
"144",145,"Apodiformes","Trochilidae","Selasphorus","Selasphorus rufus","herbivore",NA,NA,NA
