"","order","family","genus","species"
"94","Apodiformes","Apodidae","Chaetura","Chaetura vauxi"
"95","Passeriformes","Parulidae","Icteria","Icteria virens"
"96","Passeriformes","Corvidae","Cyanocitta","Cyanocitta stelleri"
"97","Passeriformes","Vireonidae","Vireo","Vireo gilvus"
"98","Strigiformes","Strigidae","Bubo","Bubo virginianus"
"99","Strigiformes","Tytonidae","Tyto","Tyto alba"
"100","Piciformes","Picidae","Melanerpes","Melanerpes lewis"
"101","Anseriformes","Anatidae","Anser","Anser albifrons"
"102","Falconiformes","Falconidae","Falco","Falco peregrinus"
"103","Passeriformes","Motacillidae","Anthus","Anthus rubescens"
"104","Passeriformes","Passeridae","Passer","Passer domesticus"
"105","Passeriformes","Passerellidae","Pooecetes","Pooecetes gramineus"
"106","Anseriformes","Anatidae","Anas","Anas platyrhynchos"
"107","Strigiformes","Strigidae","Athene","Athene cunicularia"
"108","Passeriformes","Passerellidae","Melospiza","Melospiza lincolnii"
"109","Passeriformes","Fringillidae","Haemorhous","Haemorhous purpureus"
"110","Passeriformes","Parulidae","Setophaga","Setophaga petechia"
"111","Accipitriformes","Accipitridae","Buteo","Buteo swainsoni"
"112","Strigiformes","Strigidae","Glaucidium","Glaucidium gnoma"
"113","Columbiformes","Columbidae","Columbina","Columbina passerina"
"114","Pelecaniformes","Pelecanidae","Pelecanus","Pelecanus erythrorhynchos"
"115","Passeriformes","Passerellidae","Passerella","Passerella iliaca"
"116","Passeriformes","Sittidae","Sitta","Sitta canadensis"
"117","Passeriformes","Parulidae","Leiothlypis","Leiothlypis ruficapilla"
"118","Passeriformes","Parulidae","Setophaga","Setophaga nigrescens"
"119","Passeriformes","Parulidae","Setophaga","Setophaga occidentalis"
"120","Strigiformes","Strigidae","Megascops","Megascops kennicottii"
"121","Passeriformes","Fringillidae","Spinus","Spinus pinus"
"122","Pelecaniformes","Ardeidae","Ardea","Ardea alba"
"123","Passeriformes","Tyrannidae","Empidonax","Empidonax traillii"
"124","Charadriiformes","Laridae","Larus","Larus occidentalis"
"125","Apodiformes","Trochilidae","Archilochus","Archilochus alexandri"
